"uid","genes","inCs","inRel","inDS","cls","interp"
"2057364","LDLR","True","True","True","Uncertain significance",
"2056317","BMPR2","True","True","True","Uncertain significance",
"2052397","HNF1A","True","True","True","Benign",
"2042433","RUNX1/RUNX1-AS1","True","True","True","Uncertain significance",
"2031214","SLC6A8","True","True","True","Pathogenic",
"2028205","RUNX1","True","True","True","Likely pathogenic",
"2021682","RUNX1","True","True","True","Likely benign",
"2019436","RAG2","True","True","True","Likely pathogenic",
"2018786","HNF4A","True","True","True","Likely pathogenic",
"2013398","RUNX1/RUNX1-AS1","True","True","True","Likely benign",
"2008798","RUNX1","True","True","True","Likely pathogenic",
"1997400","RUNX1","True","True","True","Likely benign",
"1988566","RUNX1/RUNX1-AS1","True","True","True","Likely benign",
"1986858","RPE65","True","True","True","Pathogenic",
"1973721","RUNX1","True","True","True","Uncertain significance",
"1966519","FOXN1","True","True","True","Likely pathogenic",
"1954374","SERPINC1","True","True","True","Uncertain significance",
"1948845","RUNX1","True","True","True","Likely benign",
"1930166","MYOC","True","True","True","Uncertain significance",
"1901178","RAG2","True","True","True","Uncertain significance",
"1879751","CDKL5","True","True","True","Likely pathogenic",
"1879048","ITGA2B","True","True","True","Uncertain significance",
"1879046","ITGA2B","True","True","True","Uncertain significance",
"1878806","FOXG1","True","True","True","Likely pathogenic",
"1807279","GCK","True","True","True","Likely pathogenic",
"1803135","RPE65","True","True","True","Uncertain significance",
"1802549","SLC6A8","True","True","True","Pathogenic",
"1802530","HNF1A","True","True","True","Uncertain significance",
"1802337","RPGR","True","True","True","Uncertain significance",
"1802328","RPGR","True","True","True","Pathogenic",
"1791142","TCF4/TCF4-AS1","True","True","True","Uncertain significance",
"1790283","FOXG1","True","True","True","Benign",
"1761584","HNF4A","True","True","True","Uncertain significance",
"1759366","DICER1","True","True","True","Uncertain significance",
"1746350","GCK","True","True","True","Likely pathogenic",
"1744752","ACVRL1","True","True","True","Uncertain significance",
"1741488","GCK","True","True","True","Pathogenic",
"1730178","TP53","True","True","True","Likely benign",
"1713278","DICER1","True","True","True","Likely pathogenic",
"1713223","ATM/C11orf65","True","True","True","Pathogenic",
"1710503","RUNX1","True","True","True","Likely pathogenic",
"1704126","GCK","True","True","True","Likely pathogenic",
"1701951","RUNX1","True","True","True","Likely benign",
"1701950","RUNX1","True","True","True","Uncertain significance",
"1700674","GCK","True","True","True","Pathogenic",
"1700386","CDKL5","True","True","True","Likely pathogenic",
"1700183","MECP2","True","True","True","Uncertain significance",
"1696131","ITGA2B","True","True","True","Benign",
"1695383","RUNX1","True","True","True","Pathogenic",
"1695377","ITGB3","True","True","True","Pathogenic",
"1693552","GAA","True","True","True","Pathogenic",
"1692645","RUNX1","True","True","True","Likely benign",
"1691744","PTEN","True","True","True","Likely pathogenic",
"1691480","ITGA2B","True","True","True","Uncertain significance",
"1691465","ITGA2B","True","True","True","Uncertain significance",
"1691459","ITGB3","True","True","True","Likely pathogenic",
"1687238","DICER1","True","True","True","Uncertain significance",
"1685787","F8","True","True","True","Benign",
"1685327","GCK","True","True","True","Uncertain significance",
"1684814","ITGA2B","True","True","True","Benign",
"1684453","RUNX1/RUNX1-AS1","True","True","True","Uncertain significance",
"1684398","RUNX1","True","True","True","Likely pathogenic",
"1684385","F8","True","True","True","Uncertain significance",
"1684365","GP1BA","True","True","True","Likely pathogenic",
"1684322","ITGA2B","True","True","True","Likely pathogenic",
"1684321","ITGA2B","True","True","True","Likely pathogenic",
"1683587","IL7R","True","True","True","Uncertain significance",
"1679555","GCK","True","True","True","Uncertain significance",
"1679125","RPE65","True","True","True","Pathogenic",
"1677036","ITGA2B/LOC130060983","True","True","True","Uncertain significance",
"1670723","MECP2","True","True","True","Likely benign",
"1658090","ABCA4","True","True","True","Likely benign",
"1642471","RUNX1","True","True","True","Likely benign",
"1626393","ADA","True","True","True","Uncertain significance",
"1610976","FOXN1","True","True","True","Uncertain significance",
"1604076","MECP2","True","True","True","Benign",
"1602756","RUNX1","True","True","True","Likely benign",
"1592483","RUNX1","True","True","True","Likely benign",
"1587386","RUNX1","True","True","True","Likely benign",
"1556993","RUNX1","True","True","True","Likely benign",
"1552198","RUNX1","True","True","True","Likely benign",
"1546102","RUNX1","True","True","True","Likely benign",
"1533052","RUNX1","True","True","True","Uncertain significance",
"1528554","RUNX1/RUNX1-AS1","True","True","True","Likely benign",
"1526094","IDUA","True","True","True","Likely pathogenic",
"1524507","RUNX1","True","True","True","Likely benign",
"1517590","FOXN1","True","True","True","Uncertain significance",
"1497214","RPGR","True","True","True","Uncertain significance",
"1496916","CDKL5","True","True","True","Uncertain significance",
"1486967","RUNX1","True","True","True","Likely benign",
"1484777","RUNX1/RUNX1-AS1","True","True","True","Likely pathogenic",
"1478168","SCN2A","True","True","True","Likely pathogenic",
"1472875","GCK","True","True","True","Pathogenic",
"1471754","HNF1A","True","True","True","Benign",
"1470027","RPE65","True","True","True","Likely pathogenic",
"1465512","RUNX1/RUNX1-AS1","True","True","True","Likely benign",
"1460663","RUNX1","True","True","True","Likely pathogenic",
"1459284","RUNX1","True","True","True","Likely benign",
"1456275","FOXN1","True","True","True","Likely pathogenic",
"1455223","IDUA","True","True","True","Likely pathogenic",
"1451826","SGCG","True","True","True","Uncertain significance",
"1445004","RPE65","True","True","True","Pathogenic",
"1438811","DCLRE1C","True","True","True","Likely pathogenic",
"1438062","ITGB3","True","True","True","Uncertain significance",
"1433815","DYSF","True","True","True","Pathogenic",
"1420866","GAMT","True","True","True","Likely pathogenic",
"1409309","GAA","True","True","True","Likely pathogenic",
"1407049","ATM/C11orf65","True","True","True","Uncertain significance",
"1406981","ADA","True","True","True","Likely pathogenic",
"1406308","PTEN","True","True","True","Likely pathogenic",
"1399221","SNHG14/UBE3A","True","True","True","Uncertain significance",
"1398841","RUNX1","True","True","True","Likely benign",
"1398400","BMPR2","True","True","True","Uncertain significance",
"1393864","IL7R","True","True","True","Uncertain significance",
"1384058","HNF1A","True","True","True","Likely pathogenic",
"1381345","ACVRL1","True","True","True","Likely pathogenic",
"1371213","RUNX1","True","True","True","Likely benign",
"1369885","IL2RG","True","True","True","Likely pathogenic",
"1368262","RUNX1","True","True","True","Uncertain significance",
"1367009","ABCA4","True","True","True","Uncertain significance",
"1364174","DCLRE1C","True","True","True","Likely pathogenic",
"1348351","RUNX1","True","True","True","Likely pathogenic",
"1348299","GAA","True","True","True","Likely pathogenic",
"1342951","HNF1A","True","True","True","Pathogenic",
"1342669","SCN2A","True","True","True","Uncertain significance",
"1338564","RUNX1","True","True","True","Likely pathogenic",
"1338528","RUNX1/RUNX1-AS1","True","True","True","Likely pathogenic",
"1338462","HNF1A","True","True","True","Likely pathogenic",
"1338172","RUNX1","True","True","True","Likely benign",
"1338044","RUNX1","True","True","True","Pathogenic",
"1336530","ITGA2B","True","True","True","Likely benign",
"1335461","ADA","True","True","True","Likely pathogenic",
"1335387","CYP1B1","True","True","True","Pathogenic",
"1334161","GJB2","True","True","True","Uncertain significance",
"1330339","ITGB3/LOC130061045","True","True","True","Pathogenic",
"1327504","GAA","True","True","True","Pathogenic",
"1327501","GAA","True","True","True","Pathogenic",
"1323540","RUNX1","True","True","True","Likely pathogenic",
"1323115","IL7R","True","True","True","Likely pathogenic",
"1322192","DCLRE1C","True","True","True","Pathogenic",
"1321180","RPE65","True","True","True","Pathogenic",
"1319385","RUNX1","True","True","True","Likely benign",
"1318841","RUNX1","True","True","True","Likely benign",
"1309924","BMPR2","True","True","True","Uncertain significance",
"1305363","GAMT/LOC130062945","True","True","True","Likely pathogenic",
"1303265","MECP2","True","True","True","Likely benign",
"1303122","ACTA1","True","True","True","Likely pathogenic",
"1303094","GCK","True","True","True","Likely pathogenic",
"1299751","HNF4A","True","True","True","Likely pathogenic",
"1299600","GCK","True","True","True","Likely benign",
"1285165","GP1BA","True","True","True","Benign",
"1270876","RUNX1/RUNX1-AS1","True","True","True","Likely benign",
"1256306","GCK","True","True","True","Likely pathogenic",
"1253809","RYR1","True","True","True","Pathogenic",
"1220767","RUNX1/RUNX1-AS1","True","True","True","Likely benign",
"1219872","RUNX1/RUNX1-AS1","True","True","True","Benign",
"1219617","GAA","True","True","True","Uncertain significance",
"1215092","SLC9A6","True","True","True","Benign",
"1213912","RPE65","True","True","True","Likely pathogenic",
"1212000","MECP2","True","True","True","Likely benign",
"1211932","RUNX1","True","True","True","Likely pathogenic",
"1210204","EFCAB13-DT/ITGB3","True","True","True","Likely pathogenic",
"1200483","RUNX1","True","True","True","Benign",
"1199613","RUNX1/RUNX1-AS1","True","True","True","Benign",
"1199408","FOXN1","True","True","True","Likely pathogenic",
"1199323","IL2RG","True","True","True","Likely benign",
"1190471","GAA","True","True","True","Uncertain significance",
"1187938","TCF4","True","True","True","Likely benign",
"1187157","RUNX1","True","True","True","Benign",
"1186689","HNF4A","True","True","True","Likely pathogenic",
"1184933","LZTR1","True","True","True","Uncertain significance",
"1182096","PTEN","True","True","True","Pathogenic",
"1180314","ABCA4","True","True","True","Likely benign",
"1177402","NEB","True","True","True","Uncertain significance",
"1172577","IL2RG","True","True","True","Uncertain significance",
"1170846","MECP2","True","True","True","Benign",
"1170692","SERPINC1","True","True","True","Likely pathogenic",
"1170282","FOXN1","True","True","True","Likely benign",
"1169227","RPGR","True","True","True","Likely benign",
"1164535","RS1","True","True","True","Likely benign",
"1162089","RUNX1","True","True","True","Likely benign",
"1156194","RUNX1","True","True","True","Likely benign",
"1155928","RUNX1","True","True","True","Likely benign",
"1151351","DNM2","True","True","True","Benign",
"1144398","DCLRE1C","True","True","True","Uncertain significance",
"1142515","RUNX1","True","True","True","Uncertain significance",
"1142221","RUNX1/RUNX1-AS1","True","True","True","Uncertain significance",
"1141521","RUNX1/RUNX1-AS1","True","True","True","Likely benign",
"1130279","RUNX1","True","True","True","Uncertain significance",
"1128874","RUNX1","True","True","True","Likely benign",
"1125165","RUNX1/RUNX1-AS1","True","True","True","Uncertain significance",
"1117757","RPE65","True","True","True","Uncertain significance",
"1115091","RUNX1","True","True","True","Likely benign",
"1114376","RUNX1","True","True","True","Likely benign",
"1112108","BMPR2","True","True","True","Likely benign",
"1109435","FOXG1","True","True","True","Uncertain significance",
"1098776","FBN1","True","True","True","Likely pathogenic",
"1097518","RUNX1","True","True","True","Likely benign",
"1094989","RUNX1","True","True","True","Likely benign",
"1094336","SERPINC1","True","True","True","Likely benign",
"1082500","RUNX1","True","True","True","Likely benign",
"1077574","RUNX1","True","True","True","Uncertain significance",
"1068066","IL2RG/LOC126863274","True","True","True","Pathogenic",
"1066305","LZTR1","True","True","True","Likely pathogenic",
"1066149","IL2RG","True","True","True","Pathogenic",
"1057551","DICER1","True","True","True","Uncertain significance",
"1055290","DICER1","True","True","True","Uncertain significance",
"1052786","RUNX1","True","True","True","Uncertain significance",
"1051987","ACTA1","True","True","True","Likely pathogenic",
"1050623","RAG1","True","True","True","Uncertain significance",
"1050028","APC","True","True","True","Likely pathogenic",
"1048589","GAA","True","True","True","Uncertain significance",
"1047527","SCN8A","True","True","True","Likely pathogenic",
"1047160","TCF4","True","True","True","Likely benign",
"1045299","RUNX1","True","True","True","Likely pathogenic",
"1041897","RUNX1","True","True","True","Likely pathogenic",
"1028611","IL2RG","True","True","True","Pathogenic",
"1025291","APC","True","True","True","Likely pathogenic",
"1023481","SLC6A8","True","True","True","Likely pathogenic",
"1021635","FOXG1","True","True","True","Likely benign",
"1015734","RUNX1","True","True","True","Likely benign",
"1012092","PTEN","True","True","True","Likely pathogenic",
"1010655","MECP2","True","True","True","Benign",
"1007447","RUNX1","True","True","True","Likely benign",
"996200","ITGA2B","True","True","True","Likely pathogenic",
"996158","ITGA2B","True","True","True","Pathogenic",
"995686","ENG/LOC102723566","True","True","True","Likely pathogenic",
"995600","ENG","True","True","True","Likely pathogenic",
"995373","GCK","True","True","True","Likely pathogenic",
"995370","GCK","True","True","True","Pathogenic",
"995121","HNF4A","True","True","True","Pathogenic",
"994542","HNF1A","True","True","True","Uncertain significance",
"993809","BMPR2","True","True","True","Likely benign",
"993226","LDLR","True","True","True","Likely pathogenic",
"993127","VWF","True","True","True","Likely benign",
"993126","VWF","True","True","True","Uncertain significance",
"988867","RUNX1","True","True","True","Uncertain significance",
"988809","RUNX1","True","True","True","Uncertain significance",
"988616","TP53","True","True","True","Pathogenic",
"983781","ADA","True","True","True","Likely pathogenic",
"982610","GCK","True","True","True","Uncertain significance",
"982495","ENG/LOC102723566","True","True","True","Likely pathogenic",
"974639","GUCY2D","True","True","True","Likely pathogenic",
"973960","RPE65","True","True","True","Pathogenic",
"973956","RPE65","True","True","True","Likely pathogenic",
"973955","RPE65","True","True","True","Likely pathogenic",
"973858","TP53","True","True","True","Likely pathogenic",
"973830","LZTR1","True","True","True","Pathogenic",
"973191","GCK","True","True","True","Pathogenic",
"972785","HNF4A","True","True","True","Uncertain significance",
"972784","HNF4A","True","True","True","Uncertain significance",
"972774","GCK","True","True","True","Likely benign",
"972756","HNF1A","True","True","True","Likely benign",
"972755","HNF1A","True","True","True","Uncertain significance",
"972751","HNF1A","True","True","True","Likely pathogenic",
"971945","GAA","True","True","True","Uncertain significance",
"969463","MECP2","True","True","True","Benign",
"968664","IL2RG","True","True","True","Uncertain significance",
"968598","RPE65","True","True","True","Likely pathogenic",
"964193","RPE65","True","True","True","Likely pathogenic",
"957296","ABCA4","True","True","True","Likely pathogenic",
"953502","CEP290","True","True","True","Pathogenic",
"953057","ITGA2B","True","True","True","Pathogenic",
"947844","RUNX1","True","True","True","Likely benign",
"945025","DCLRE1C","True","True","True","Likely benign",
"942974","USH2A","True","True","True","Uncertain significance",
"942968","SLC6A8","True","True","True","Likely benign",
"942448","RPE65","True","True","True","Likely pathogenic",
"941841","SLC6A8","True","True","True","Uncertain significance",
"941268","ACADVL","True","True","True","Likely pathogenic",
"940222","BRCA2","True","True","True","Pathogenic",
"936561","PTEN","True","True","True","Pathogenic",
"936307","RAG1","True","True","True","Uncertain significance",
"935255","CAPN3","True","True","True","Pathogenic",
"934697","CEP290","True","True","True","Pathogenic",
"934410","TP53","True","True","True","Likely pathogenic",
"933119","DICER1","True","True","True","Uncertain significance",
"933019","DICER1","True","True","True","Uncertain significance",
"932987","DICER1","True","True","True","Pathogenic",
"932843","ACADVL","True","True","True","Likely pathogenic",
"932221","GAA","True","True","True","Likely pathogenic",
"931873","RUNX1","True","True","True","Likely pathogenic",
"931135","DNM2","True","True","True","Likely pathogenic",
"928882","RMRP","True","True","True","Likely pathogenic",
"927875","KCNQ1","True","True","True","Likely benign",
"926526","LDLR","True","True","True","Uncertain significance",
"926510","BRCA1","True","True","True","Uncertain significance",
"917409","HNF4A","True","True","True","Benign",
"911766","GCK","True","True","True","Likely benign",
"908615","GCK","True","True","True","Benign",
"898915","RUNX1","True","True","True","Likely benign",
"898790","RUNX1","True","True","True","Likely benign",
"898486","BMPR2","True","True","True","Uncertain significance",
"898483","BMPR2","True","True","True","Uncertain significance",
"898481","BMPR2","True","True","True","Likely benign",
"897773","RUNX1/RUNX1-AS1","True","True","True","Likely benign",
"897628","RUNX1","True","True","True","Likely benign",
"897319","BMPR2","True","True","True","Uncertain significance",
"897238","BMPR2","True","True","True","Benign",
"897015","ADA","True","True","True","Uncertain significance",
"896040","RUNX1","True","True","True","Likely benign",
"895825","RUNX1","True","True","True","Likely benign",
"892241","ITGA2B","True","True","True","Likely benign",
"892239","ITGA2B","True","True","True","Likely benign",
"891955","ITGB3","True","True","True","Likely benign",
"891087","ITGA2B","True","True","True","Uncertain significance",
"890675","LOC126862757/TCF4","True","True","True","Benign",
"890528","ITGA2B","True","True","True","Likely benign",
"889447","ITGB3","True","True","True","Likely benign",
"888872","DNM2","True","True","True","Benign",
"879138","RAG1","True","True","True","Likely benign",
"876603","SERPINC1","True","True","True","Likely benign",
"875116","RPE65","True","True","True","Uncertain significance",
"874235","RPE65","True","True","True","Uncertain significance",
"872112","UBE3A","True","True","True","Uncertain significance",
"871729","KCNQ1","True","True","True","Uncertain significance",
"871507","ABCA4","True","True","True","Pathogenic",
"870846","SERPINC1","True","True","True","Likely benign",
"870346","RPE65","True","True","True","Likely pathogenic",
"870345","RPE65","True","True","True","Pathogenic",
"870344","RPE65","True","True","True","Likely pathogenic",
"870343","RPE65","True","True","True","Pathogenic",
"869415","FOXN1","True","True","True","Pathogenic",
"869245","HBB/LOC106099062/LOC107133510","True","True","True","Uncertain significance",
"866922","CEP290","True","True","True","Likely pathogenic",
"866638","RPGR","True","True","True","Likely pathogenic",
"866507","RPE65","True","True","True","Likely pathogenic",
"866421","ABCA4","True","True","True","Likely pathogenic",
"866404","RS1","True","True","True","Likely pathogenic",
"866339","CEP290","True","True","True","Likely pathogenic",
"865946","RPE65","True","True","True","Likely pathogenic",
"865888","RPGR","True","True","True","Pathogenic",
"865841","RPE65","True","True","True","Likely pathogenic",
"864108","GAA","True","True","True","Uncertain significance",
"863657","SERPINC1","True","True","True","Pathogenic",
"859216","GUCY2D","True","True","True","Uncertain significance",
"858838","DYSF","True","True","True","Likely pathogenic",
"857533","RAG2","True","True","True","Uncertain significance",
"857069","RAG2","True","True","True","Uncertain significance",
"856299","TP53","True","True","True","Pathogenic",
"854960","GAMT","True","True","True","Uncertain significance",
"854239","RUNX1","True","True","True","Likely benign",
"854099","GAMT","True","True","True","Pathogenic",
"853965","GATM","True","True","True","Uncertain significance",
"852208","FOXN1","True","True","True","Uncertain significance",
"851266","MECP2","True","True","True","Likely benign",
"850613","RPE65","True","True","True","Likely pathogenic",
"848699","ACVRL1","True","True","True","Likely pathogenic",
"846000","RUNX1/RUNX1-AS1","True","True","True","Likely benign",
"843641","TP53","True","True","True","Pathogenic",
"839263","ABCA4","True","True","True","Uncertain significance",
"836280","DICER1","True","True","True","Likely pathogenic",
"836080","RUNX1","True","True","True","Uncertain significance",
"835308","RUNX1/RUNX1-AS1","True","True","True","Likely benign",
"827578","FOXN1","True","True","True","Likely pathogenic",
"827572","FOXN1","True","True","True","Pathogenic",
"822326","APC","True","True","True","Uncertain significance",
"820795","PTEN","True","True","True","Likely pathogenic",
"818179","GAMT","True","True","True","Pathogenic",
"817462","ACTA1","True","True","True","Pathogenic",
"813972","DYSF","True","True","True","Likely pathogenic",
"813969","DYSF","True","True","True","Likely pathogenic",
"812738","RUNX1","True","True","True","Uncertain significance",
"812420","RPGR","True","True","True","Pathogenic",
"811810","F8","True","True","True","Uncertain significance",
"811513","F9","True","True","True","Likely pathogenic",
"811223","RPE65","True","True","True","Likely benign",
"811219","F8","True","True","True","Pathogenic",
"811065","ACVRL1","True","True","True","Uncertain significance",
"810971","F8","True","True","True","Benign",
"810849","LDLR","True","True","True","Likely pathogenic",
"810564","RPGR","True","True","True","Likely pathogenic",
"804918","HNF4A","True","True","True","Pathogenic",
"804852","GCK","True","True","True","Pathogenic",
"804837","GCK","True","True","True","Pathogenic",
"804834","GCK","True","True","True","Likely pathogenic",
"804215","HBA2/LOC106804612","True","True","True","Likely pathogenic",
"804214","TP53","True","True","True","Pathogenic",
"804101","SLC6A8","True","True","True","Likely pathogenic",
"804100","SLC6A8","True","True","True","Uncertain significance",
"804024","IL2RG","True","True","True","Uncertain significance",
"803716","CDKL5","True","True","True","Uncertain significance",
"802861","ACVRL1","True","True","True","Likely benign",
"802564","DCLRE1C","True","True","True","Likely pathogenic",
"801497","RPE65","True","True","True","Pathogenic",
"801294","VWF","True","True","True","Uncertain significance",
"801292","VWF","True","True","True","Likely benign",
"801086","BRCA1","True","True","True","Likely pathogenic",
"800346","IL7R","True","True","True","Uncertain significance",
"800204","BMPR2","True","True","True","Likely benign",
"798429","F9","True","True","True","Uncertain significance",
"789504","RPE65","True","True","True","Likely benign",
"774811","PPP1CB","True","True","True","Benign",
"772770","RPE65","True","True","True","Likely benign",
"767598","RPE65","True","True","True","Likely benign",
"764654","DICER1","True","True","True","Likely benign",
"762975","RUNX1","True","True","True","Likely benign",
"760670","RUNX1","True","True","True","Likely benign",
"759891","ITGB3","True","True","True","Likely benign",
"753166","PIK3CD","True","True","True","Likely benign",
"744318","RPE65","True","True","True","Pathogenic",
"738411","ITGB3","True","True","True","Likely benign",
"733403","JAK3","True","True","True","Likely benign",
"731652","GP1BB/SEPT5-GP1BB","True","True","True","Benign",
"731417","ITGA2B","True","True","True","Likely benign",
"728480","FOXN1","True","True","True","Likely benign",
"716567","RPE65","True","True","True","Likely benign",
"714463","GAA","True","True","True","Uncertain significance",
"712831","FOXN1","True","True","True","Likely benign",
"705625","IL7R","True","True","True","Likely benign",
"702064","ITGA2B","True","True","True","Likely benign",
"701352","F9","True","True","True","Benign",
"699735","RUNX1","True","True","True","Benign",
"699299","F8","True","True","True","Uncertain significance",
"695909","F9","True","True","True","Benign",
"694627","SERPINC1","True","True","True","Likely pathogenic",
"694617","SCN1B","True","True","True","Pathogenic",
"694309","SCN8A","True","True","True","Likely pathogenic",
"689636","HNF4A","True","True","True","Likely pathogenic",
"666959","F8","True","True","True","Likely pathogenic",
"665887","FOXN1","True","True","True","Likely pathogenic",
"664780","TCF4","True","True","True","Likely benign",
"664582","GAA","True","True","True","Likely pathogenic",
"662490","CAPN3","True","True","True","Likely pathogenic",
"660852","SERPINC1","True","True","True","Uncertain significance",
"660565","RUNX1","True","True","True","Uncertain significance",
"658837","RPE65","True","True","True","Likely pathogenic",
"657805","ACVRL1","True","True","True","Pathogenic",
"656631","FOXN1","True","True","True","Likely pathogenic",
"655951","MECP2","True","True","True","Likely benign",
"655729","MECP2","True","True","True","Pathogenic",
"654655","SNHG14/UBE3A","True","True","True","Likely pathogenic",
"654469","ACTA1","True","True","True","Pathogenic",
"654335","DCLRE1C","True","True","True","Uncertain significance",
"654211","SERPINC1","True","True","True","Likely pathogenic",
"651569","F9","True","True","True","Likely pathogenic",
"650904","RAG2","True","True","True","Likely pathogenic",
"646645","RUNX1","True","True","True","Uncertain significance",
"646006","PTEN","True","True","True","Pathogenic",
"644342","FOXN1","True","True","True","Likely pathogenic",
"642956","RUNX1/RUNX1-AS1","True","True","True","Pathogenic",
"642844","RUNX1","True","True","True","Likely benign",
"642787","IL7R","True","True","True","Likely pathogenic",
"642707","RYR1","True","True","True","Pathogenic",
"640778","RUNX1","True","True","True","Likely pathogenic",
"639088","RUNX1","True","True","True","Uncertain significance",
"638952","BRCA1","True","True","True","Likely pathogenic",
"638853","TP53","True","True","True","Pathogenic",
"638559","FBN1","True","True","True","Pathogenic",
"636203","RPGR","True","True","True","Likely pathogenic",
"636202","RPE65","True","True","True","Pathogenic",
"635233","SERPINC1","True","True","True","Likely benign",
"633606","TP53","True","True","True","Pathogenic",
"633211","FBN1","True","True","True","Pathogenic",
"632823","GAA","True","True","True","Likely pathogenic",
"632819","FBN1","True","True","True","Pathogenic",
